feature,importance
cp,0.14407844931379837
ca,0.11832965196163638
thalach,0.10977632156322892
oldpeak,0.10878722430818678
thal,0.09946700031544076
age,0.09085771239839176
chol,0.07499327817754745
exang,0.07415422078903333
trestbps,0.07043490728086707
slope,0.04988240873808661
sex,0.02798054076824109
restecg,0.020530834129539318
fbs,0.010727450256002255
